catalog_position,title,author,year_published,genre,section,total_copies,times_borrowed,last_borrowed_date,rating,ratings_count,price,language,page_count,dimensions_width,dimensions_thickness,dimensions_height,catalog_shelf,catalog_row,catalog_row_number
A1-B1-0017,A Thousand Splendid Suns,Khaled Hosseini,2007,Drama,Fiction,7,861,8/8/2024,4.72,511,9.38,en,380,5.1,0.93,7.9,A1,B1,17
A1-B1-0018,The Pelican Brief,John Grisham,1992,Crime/Thriller,Fiction,4,98,7/5/2024,4.67,67,0.99,en,434,5.19,1.62,8.14,A1,B1,18
A1-B1-0019,"Villette, a novel",Charlotte Brontë,1853,Drama,Fiction,7,20,9/17/2024,4.07,12,17.41,en,788,5.07,1.16,7.75,A1,B1,19
A1-B1-0020,Nana,Émile Zola,1880,Drama,Fiction,5,3,4/29/2024,4.47,2,12.04,en,354,7.64,0.87,5.04,A1,B1,20
A1-B1-0021,The Psalms of David,Isaac Watts,1741,Religion & Spirituality,Humanities,5,1,5/22/2024,4.39,1,5.95,en,110,6.46,0.66,8.32,A1,B1,21
A1-B1-0022,What Katy Did Next (Best Loved Stories),Susan Coolidge,1886,Novels,Young Adult (YA),5,4,11/11/2024,4.57,3,0.99,en,663,5,0.5,7.75,A1,B1,22
A1-B1-0023,Der Zauberberg,Thomas Mann,1924,Drama,Fiction,6,4,11/22/2024,4.33,2,19.99,de,1080,6,1.65,9,A1,B1,23
A1-B1-0024,The Birds of America,John James Audubon,1827,Biography & Autobiography,Non-Fiction,5,3,9/14/2024,4.63,3,,en,550,8.75,1.87,12.87,A1,B1,24
A1-B1-0025,Hong lou meng,Xueqin Cao,1900,Drama,Fiction,4,5,12/8/2024,5,4,12.99,cn,748,6.37,2.57,6.2,A1,B1,25
A1-B1-0026,The Holly Tree,Charles Dickens,1855,Drama,Fiction,4,1,6/15/2024,,,6.99,en,45,6,0.15,9,A1,B1,26
A1-B1-0027,The vampyre,John William Polidori,1819,Horror,Fiction,4,3,12/23/2024,4.51,2,9.24,en,34,7.6,0.6,5,A1,B1,27
A1-B1-0028,The Right Kind of Crazy, Adam Steltzner,2016,Technology & Engineering,Non-Fiction,1,2,9/9/2024,,,8.89,en,320,6.16,0.92,9.27,A1,B1,28
A1-B1-0029,An Astronaut's Guide to Life on Earth,Chris Hadfield,2013,Biography & Autobiography,Non-Fiction,8,125,1/15/2025,4.67,86,9.99,en,305,5.5,0.88,8.25,A1,B1,29
A1-B1-0030,Discours de la méthode,René Descartes,1644,Science,Humanities,5,7,3/10/2024,4.75,6,5.5,fr,87,5.5,0.27,8.5,A1,B1,30
A1-B1-0031,"The journals of AndreÌ Gide, 1889-1949",AndreÌ Gide,1939,Biography & Autobiography,Non-Fiction,5,1,5/6/2024,,,24.95,en,388,5.67,1.29,8.13,A1,B1,31
A1-B1-0032,The Once and Future King,T. H. White,1939,Fantasy,Fiction,4,37,8/13/2024,4.54,28,14.99,en,644,6.24,2.32,7.24,A1,B1,32
A1-B1-0033,The Immortal Life of Henrietta Lacks,Rebecca Skloot,2010,Biography & Autobiography,Non-Fiction,6,538,6/9/2024,4.66,293,8.69,en,32,6.41,0.49,8.33,A1,B1,33
A1-B1-0034,The Haunted Hotel,Wilkie Collins,1878,Horror,Fiction,5,2,9/26/2024,4.35,1,8.01,en,252,5.74,1.08,9.47,A1,B1,34
A1-B1-0035,Clover,Susan Coolidge,1888,Novels,Children,5,1,8/14/2024,,,,en,208,6.33,0.79,7.45,A1,B1,35
A1-B1-0036,John Donne Poetry,John Donne,1633,Poetry,Humanities,5,4,10/25/2024,4.68,3,18,en,408,5.1,1,8.5,A1,B1,36
A1-B1-0037,The Clue of the Twisted Candle,Edgar Wallace,1900,Crime/Thriller,Fiction,6,3,4/29/2024,4.15,2,4.99,en,176,6.26,0.82,9.51,A1,B1,37
A1-B1-0038,The Talisman,Sir Walter Scott,1800,Historical Fiction,Fiction,5,1,3/21/2024,,,11.99,en,944,5.36,3.21,8.79,A1,B1,38
A1-B1-0039,Wieland,Charles Brockden Brown,1798,Gothic Fiction,Fiction,4,9,7/17/2024,3.52,6,9.95,en,274,5.1,0.9,7.75,A1,B1,39
A1-B1-0040,The life of Washington,Mason Locke Weems,1800,Biography & Autobiography,History,5,4,4/11/2024,4.62,3,27.45,en,296,5.5,0.74,8.5,A1,B1,40
A1-B1-0041,Nemesis,Agatha Christie,1970,Crime/Thriller,Fiction,5,30,10/7/2024,4.68,18,0.99,en,18,6.33,0.35,8.68,A1,B1,41
A1-B1-0042,The Princess and Curdie,George MacDonald,1832,Fantasy,Children,7,3,5/19/2024,4.56,2,6.52,en,280,5.05,0.74,7.69,A1,B1,42
A1-B1-0043,Naturalis historia,Pliny the Elder,1469,History,Reference,5,2,8/21/2024,5,1,30,en,1320,5.1,1.15,7.65,A1,B1,43
A1-B1-0044,Cien años de soledad,Gabriel Garcia Marquez,1967,Fantasy,Fiction,5,16,1/31/2025,4.83,10,22.41,en,440,6.62,1.54,9.05,A1,B1,44
A1-B1-0045,Les confessions,Jean-Jacques Rousseau,1782,Biography & Autobiography,Humanities,6,2,8/26/2024,4.25,1,0.99,en,583,6.38,2.05,7.19,A1,B1,45
A1-B1-0046,Le petit prince,Antoine de Saint-Exupéry,1943,Fantasy,Children's,6,115,9/18/2024,4.88,81,12.99,en,139,8.06,0.34,5.34,A1,B1,46
A1-B1-0047,El Libro de La Selva,Rudyard Kipling,1894,Adventure,Children,5,3,2/5/2025,4.51,2,23.81,en,124,5.35,0.74,8.31,A1,B1,47
A1-B1-0048,The Total Money Makeover: A Proven Plan for Financial Fitness,Dave Ramsey,2003,Economics & Business,Non-Fiction,6,240,3/22/2024,4.78,216,0.99,en,289,5.19,0.97,8.54,A1,B1,48
A1-B1-0049,Consolidação das Leis do Trabalho,Brazil,1943,Economics & Business,Non-Fiction,5,7,4/30/2024,4.77,5,,br,169,5.76,0.87,7.87,A1,B1,49
A1-B1-0050,Arabia Deserta,Charles Montagu Doughty,1888,History,Non-Fiction,5,4,11/4/2024,4.82,4,15.95,en,720,5.52,2.31,7.89,A1,B1,50
A1-B1-0051,Mother Goose in Prose,L. Frank Baum,1897,Fantasy,Children,5,4,5/30/2024,4.36,2,2.99,en,154,5.87,0.61,7.83,A1,B1,51
A1-B1-0052,The Story of Siegfried,James Baldwin,1882,Fantasy,Children's,4,5,11/14/2024,4.13,5,0.99,en,356,5.17,1.22,9.47,A1,B1,52
A1-B1-0053,Master and Man,Leo Tolstoy,1895,Classics,Children,5,1,7/31/2024,4.42,1,0.43,ru,114,5.47,0.74,7.82,A1,B1,53
A1-B1-0054,Tender is the Night,F. Scott Fitzgerald,1933,Romance,Fiction,7,13,1/6/2025,4.16,8,8.19,en,324,6.13,1.2,9.25,A1,B1,54
A1-B1-0056,Pagan Papers,Kenneth Grahame,1894,Other,Fiction,5,4,5/29/2024,5,3,5.99,en,46,7,0.53,7.96,A1,B1,56
A1-B1-0057,A Midsummer Night's Dream,William Shakespeare,1600,Comedy,Fiction,7,12,10/21/2024,4.55,9,9.05,en,142,5.5,0.6,8.38,A1,B1,57
A1-B1-0058,Summary of the law relative to pleading and evidence in criminal cases,John Frederick Archbold,1822,Reference,Reference,5,1,1/3/2025,,,34.95,en,624,6.14,0.81,9.21,A1,B1,58
A1-B1-0059,Autobiography of a Yogi,Yogananda Paramahansa,1946,Biography & Autobiography,Non-Fiction,6,9,11/13/2024,4.84,7,18.95,en,570,6.02,1.84,8.26,A1,B1,59
A1-B1-0060,Frankenstein or The Modern Prometheus,Mary Shelley,1818,Horror,Fiction,9,138,4/20/2024,4.57,94,6.49,en,280,5.96,1.24,9.63,A1,B1,60
A1-B1-0061,A Cynic Looks at Life,Ambrose Bierce,1912,,,4,4,12/30/2024,4.03,2,0.99,en,59,6.01,0.57,7.66,A1,B1,61
A1-B1-0062,The Chessmen of Mars,Edgar Rice Burroughs,1922,Science Fiction,Fiction,5,1,10/16/2024,5,1,359,en,392,6.95,1.36,7.05,A1,B1,62
A1-B1-0063,The Thirteen Problems,Agatha Christie,1932,Mystery,Fiction,4,31,8/28/2024,4.52,31,4.99,en,14,5.74,0.18,8.67,A1,B1,63
A1-B1-0064,Catching Fire,Suzanne Collins,2009,Dystopian,Young Adult (YA),5,1105,8/11/2024,4.73,738,0.99,en,1180,6.76,3.71,6.79,A1,B1,64
A1-B1-0065,Divergent,Veronica Roth,2011,Dystopian,Young Adult (YA),3,328,10/22/2024,4.72,186,8.44,en,487,5.31,1.3,8,A1,B1,65
A1-B1-0066,The American Claimant,Mark Twain,1881,Comedy,Fiction,7,1,12/13/2024,,,0.99,en,298,5.11,1.31,8.14,A1,B1,66
A1-B1-0067,Deception Point,Dan Brown,2001,Crime/Thriller,Fiction,4,354,2/14/2025,4.48,212,0.99,en,464,5.9,1.56,7.77,A1,B1,67
A1-B1-0068,The Kybalion,Three Initiates,1912,Religion & Spirituality,Non-Fiction,5,35,6/14/2024,4.89,22,18.94,en,164,5.17,0.76,7.42,A1,B1,68
A1-B1-0069,The Portrait of a Lady,Henry James,1882,Drama,Fiction,6,3,11/9/2024,4.43,3,11.95,en,635,7.6,1.1,5,A1,B1,69
A1-B1-0070,Institutio Christianae religionis,Jean Calvin,1536,Religion & Spirituality,Humanities,5,3,4/10/2024,3.06,2,51.95,la,662,6.14,1.06,9.21,A1,B1,70
A1-B1-0071,Carmilla,Joseph Sheridan Le Fanu,1871,Horror,Fiction,6,5,8/5/2024,4.57,5,15.3,en,93,5.25,0.42,8,A1,B1,71
A1-B1-0072,The Shining,Stephen King,1977,Horror,Fiction,5,480,5/9/2024,4.72,472,0.99,en,530,6.25,1.99,8.98,A1,B1,72
A1-B1-0073,De l'esprit des lois,"Charles Louis de Secondat, baron de La Brède et de Montesquieu",1748,History,Humanities,5,4,1/8/2025,5,4,16.86,en,386,5.26,1.55,7.86,A1,B1,73
A1-B2-0001,The Thirty-Nine Steps,John Buchan,1915,Crime/Thriller,Fiction,8,6,5/30/2024,4.26,6,11.95,en,99,5,0.4,8,A1,B2,1
A1-B2-0002,Towards Zero,Agatha Christie,1944,Crime/Thriller,Fiction,5,11,6/9/2024,4.45,9,12.69,en,196,6.41,0.69,9.25,A1,B2,2
A1-B2-0003,Of Human Bondage,William Somerset Maugham,1915,Classics,Fiction,7,6,8/20/2024,4.55,6,12.95,en,845,6,0.65,9,A1,B2,3
A1-B2-0005,Julius Caesar,Jacob Abbott,1849,Biography & Autobiography,History,5,2,2/16/2025,4.39,2,12,en,422,5.5,0.5,8.5,A1,B2,5
A1-B2-0006,Mrs. McGinty's Dead,Agatha Christie,1951,Mystery,Fiction,4,15,12/23/2024,4.57,9,9.99,en,244,5.98,1.13,7.53,A1,B2,6
A1-B2-0007,Argonautika,Apollonius Rhodius,1550,Poetry,Fiction,5,4,5/11/2024,4.75,3,31.95,en,186,6,1.3,9,A1,B2,7
A1-B2-0008,Night and Day,Virginia Woolf,1919,Romance,Fiction,5,4,6/17/2024,3.95,2,18,en,416,5.1,0.9,7.8,A1,B2,8
A1-B2-0009,Ange Pitou,Alexandre Dumas,1851,History,Fiction,4,1,1/15/2025,,,16.48,en,454,6.03,1.65,8.76,A1,B2,9
A1-B2-0010,The Black Box,Edward Phillips Oppenheim,1915,Mystery,Fiction,5,5,1/6/2025,3.68,4,0.99,en,337,5.61,1.18,9.06,A1,B2,10
A1-B2-0011,The Sky Below, Scott Parazynski,2017,Biography & Autobiography,Non-Fiction,6,130,11/26/2024,4.34,56,0.99,en,303,6,1,9,A1,B2,11
A1-B2-0012,The Rayner-Slade amalgamation,Joseph Smith Fletcher,1917,Crime/Thriller,Fiction,4,2,7/20/2024,4.16,1,0.99,en,365,6,0.63,9,A1,B2,12
A1-B2-0013,"Danny, The Champion of the World",Roald Dahl,1975,Adventure,Children,5,58,10/14/2024,4.67,47,7.99,en,224,7.7,0.7,5,A1,B2,13
A1-B2-0014,The Narrative of Arthur Gordon Pym,Edgar Allan Poe,1838,Adventure,Fiction,5,8,3/11/2024,4.19,8,10.95,en,134,7.74,0.52,5.12,A1,B2,14
A1-B2-0015,Rodney Stone,Arthur Conan Doyle,1896,Adventure,Fiction,6,5,3/16/2024,4.44,3,6.5,en,300,5.23,1.01,7.29,A1,B2,15
A1-B2-0016,Godolphin,Edward Bulwer Lytton,1833,Novels,Fiction,5,1,5/17/2024,,,13.24,en,312,6.14,0.81,9.21,A1,B2,16
A1-B2-0017,ISD news and views,Montana. Dept. of Administration. Information Services Division.,1992,Other,Reference,4,1,6/2/2024,,,,en,326,5.41,1.08,7.63,A1,B2,17
A1-B2-0018,Arabian medicine,Edward Granville Browne,1899,History,Humanities,5,2,6/6/2024,,,81.95,en,162,6.32,0.76,8.21,A1,B2,18
A1-B2-0019,The half-hearted,John Buchan,1900,Adventure,Fiction,5,5,5/3/2024,3.74,3,5.99,en,283,6.38,1.18,6.25,A1,B2,19
A1-B2-0020,I Malavoglia,Giovanni Verga,1881,Drama,Fiction,5,6,5/28/2024,4.59,5,0.99,en,279,5.5,0.45,8.5,A1,B2,20
A1-B2-0021,Oryx and Crake,Margaret Atwood,2003,Science Fiction,Fiction,15,319,11/5/2024,4.38,131,9.49,en,376,5.18,0.88,7.99,A1,B2,21
A1-B2-0022,The Castle of Otranto,Horace Walpole,1764,Horror,Fiction,5,3,7/16/2024,4.47,3,10.18,en,234,7.78,0.45,5.15,A1,B2,22
A1-B2-0023,Faerie queene,Edmund Spenser,1590,Fantasy,Humanities,6,3,12/13/2024,4.56,3,427,en,1252,5.08,2.08,7.75,A1,B2,23
A1-B2-0024,The Romany Rye,George Henry Borrow,1800,Novels,Fiction,5,5,12/8/2024,3.47,5,8.37,en,396,6,0.72,9,A1,B2,24
A1-B2-0025,The Golden Age,Kenneth Grahame,1895,Drama,Children,6,1,3/18/2024,,,,en,96,6.41,0.34,7.98,A1,B2,25
A1-B2-0027,Commentaries on the laws of England,Sir William Blackstone,1721,History,Reference,5,2,4/9/2024,3.74,1,25.99,en,504,6.21,1.63,7.13,A1,B2,27
A1-B2-0028,Louise de la Valliere,Alexandre Dumas,1902,Historical Fiction,Fiction,4,2,8/21/2024,4.44,1,0.99,en,480,5.86,1.59,6.89,A1,B2,28
A1-B2-0029,Daniel Deronda,George Eliot,1800,Drama,Fiction,5,3,4/9/2024,4.37,2,17.99,en,426,7.75,1.38,5.13,A1,B2,29
A1-B2-0030,The Night Circus,Erin Morgenstern,2011,Fantasy,Fiction,,333,11/5/2024,4.43,214,9.27,en,482,5.17,1.1,8.01,A1,B2,30
A1-B2-0032,The Sound and the Fury,William Faulkner,1929,Drama,Fiction,4,13,7/27/2024,4.24,8,9.89,en,288,5.2,0.76,7.97,A1,B2,32
A1-B2-0033,Mars Direct, Robert Zubrin,2013,,,2,5,11/10/2024,4.15,3,15.99,en,58,6.41,0.29,7.78,A1,B2,33
A1-B2-0034,Physics,Aristotle,1472,History,Science,4,6,10/13/2024,4.64,5,12.92,en,310,7.6,0.8,5,A1,B2,34
A1-B2-0035,The Advantage: Why Organizational Health Trumps Everything Else in Business,Patrick Lencioni,2012,Economics & Business,Non-Fiction,8,23,4/25/2024,4.66,18,14.2,en,253,9.1,1,6,A1,B2,35
A1-B2-0036,The Woman in White,Wilkie Collins,1860,Crime/Thriller,Fiction,7,127,8/1/2024,4.34,97,0.39,en,556,5.83,2.01,6.86,A1,B2,36
A1-B2-0037,Rights of Man,Thomas Paine,1791,History,Non-Fiction,6,1,7/12/2024,4.75,1,6.46,en,344,4.13,1.07,6.75,A1,B2,37
A1-B2-0038,The Magic Finger,Roald Dahl,1966,Fantasy,Children,5,32,6/26/2024,4.59,24,6.99,en,72,5.06,0.27,7.69,A1,B2,38
A1-B2-0039,It,Stephen King,1925,Horror,Fiction,4,280,9/7/2024,4.72,175,0.99,en,475,5.32,1.81,8.74,A1,B2,39
A1-B2-0040,The plays of Oscar Wilde,Oscar Wilde,1900,Drama,Humanities,5,3,10/12/2024,4.58,3,4.99,en,228,4.92,0.98,7.68,A1,B2,40
A1-B2-0041,Frogs,Aristophanes,1785,Comedy,Fiction,5,2,7/10/2024,4.74,2,12.85,en,52,7.6,0.8,5,A1,B2,41
A1-B2-0042,The Silmarillion,J.R.R. Tolkien,1977,Fantasy,Fiction,5,37,7/20/2024,4.96,28,38.81,en,396,6,1.5,9,A1,B2,42
A1-B2-0043,Cato,Joseph Addison,1713,Drama,Fiction,5,4,1/29/2025,4.61,3,10.86,en,16,5.75,0.75,8.75,A1,B2,43
A1-B2-0045,"The little white bird, or, Adventures in Kensington gardens",J. M. Barrie,1902,Fantasy,Children,6,3,7/11/2024,4.36,2,4.99,en,306,5,0.5,8,A1,B2,45
A1-B2-0046,The kingdom of the blind,Edward Phillips Oppenheim,1909,Crime/Thriller,Fiction,6,2,6/9/2024,4.44,1,3.99,en,106,6.02,0.55,8.09,A1,B2,46
A1-B2-0047,Harold,Edward Bulwer Lytton,1848,Historical Fiction,Fiction,5,1,9/2/2024,4.02,1,4.65,en,349,6.58,1.35,8.49,A1,B2,47
A1-B2-0048,The Clocks,Agatha Christie,1963,Crime/Thriller,Fiction,5,16,8/5/2024,4.37,10,10.99,en,12,5.2,0.8,8.02,A1,B2,48
A1-B2-0049,Poetical works,John Milton,1645,Poetry,Humanities,5,2,8/23/2024,4.86,2,0.99,en,554,5.57,1.77,8.48,A1,B2,49
A1-B2-0050,Zanoni,Edward Bulwer Lytton,1842,Fantasy,Fiction,5,2,7/3/2024,4.68,2,16.76,en,334,6,1.04,9,A1,B2,50
A1-B2-0051,"With Clive in India, or, The beginnings of an empire",G. A. Henty,1880,Historical Fiction,Children's,5,4,4/30/2024,4.16,3,0.99,en,154,6.53,0.84,6.7,A1,B2,51
A1-B2-0052,A Study in Scarlet,Arthur Conan Doyle,1887,Crime/Thriller,Fiction,9,30,1/5/2025,4.45,23,8.37,en,162,5.59,0.76,7.92,A1,B2,52
A1-B2-0053,... Trotzdem Ja zum Leben sagen,Viktor E. Frankl,1946,Biography & Autobiography,Non-Fiction,5,17,5/19/2024,4.64,11,1.99,de,199,6.91,0.87,9.12,A1,B2,53
A1-B2-0054,La princesse de ClÃ¨ves,Madame de La Fayette,1678,Romance,Fiction,5,3,10/11/2024,4.47,3,11.95,fr,346,5.75,1.27,8.12,A1,B2,54
A1-B2-0055,Childhood Annotated,Leo Tolstoy,1961,Classics,Fiction,5,1,2/15/2025,4.49,1,0.43,en,319,6.61,1.19,8.32,A1,B2,55
A1-B2-0056,The Forsyte Saga (various novels),John Galsworthy,1898,Novels,Fiction,6,3,9/11/2024,4.67,3,15.48,en,900,7.79,1.64,5.11,A1,B2,56
A1-B2-0057,Being Mortal: Medicine and What Matters in the End,Atul Gawande,2014,Medicine & Health,Non-Fiction,6,745,6/19/2024,4.78,473,11.42,en,283,5.35,0.8,8.15,A1,B2,57
A1-B2-0058,Tarzan the Terrible (#8),Edgar Rice Burroughs,1921,Adventure,Fiction,6,4,3/11/2024,4.45,4,0.99,en,324,5.83,1.26,9.23,A1,B2,58
A1-B2-0059,Le avventure di Pinocchio,Carlo Collodi,1883,Fantasy,Children,7,4,12/4/2024,4.36,2,596,it,284,5,0.32,8,A1,B2,59
A1-B2-0060,Poems,William Cullen Bryant,1800,Poetry,Reference,5,1,5/25/2024,4.45,1,0.99,en,546,5.5,1.91,8.55,A1,B2,60
A1-B2-0061,A Room of One's Own,Virginia Woolf,1929,History,Humanities,6,34,2/18/2025,4.58,22,10.99,en,129,5.31,0.31,8,A1,B2,61
A1-B2-0062,The Prairie,James Fenimore Cooper,1800,Adventure,Children's,7,7,6/14/2024,4.34,4,7.54,en,1148,5.84,3.67,7.63,A1,B2,62
A1-B2-0063,La Celestina,Fernando de Rojas,1899,Drama,Humanities,5,2,4/24/2024,4.63,2,4.99,en,136,5.06,0.9,7.5,A1,B2,63
A1-B2-0064,A Game of Thrones,George R. R. Martin,1996,Fantasy,Fiction,4,590,4/15/2024,4.78,542,34.98,en,876,8,4.3,7,A1,B2,64
A1-B2-0065,The Old Man and the Sea,Ernest Hemingway,1952,Drama,Fiction,5,237,12/8/2024,4.54,153,10.35,en,68,5.25,0.3,8,A1,B2,65
A1-B2-0066,The Three Cities Trilogy,Émile Zola,2003,History,Fiction,4,5,2/6/2025,4.44,5,4.99,en,1977,6.86,6.32,9.14,A1,B2,66
A1-B2-0067,The works of Hubert Howe Bancroft,Hubert Howe Bancroft,1882,History,Non-Fiction,5,5,5/6/2024,5,3,19.95,en,562,6.17,2.06,7.71,A1,B2,67
A1-B2-0068,Ten Years Later,Alexandre Dumas,1893,Historical Fiction,Fiction,5,1,10/11/2024,,,0.99,en,240,6.07,0.99,6.67,A1,B2,68
A1-B2-0069,Philosophical essays concerning human understanding,David Hume,1900,Philosophy,Humanities,6,2,9/13/2024,4.62,1,10,en,272,5.75,0.5,8.75,A1,B2,69
A1-B2-0070,Between Friends,Robert W. Chambers,1914,,,5,2,10/3/2024,4.11,2,4.99,en,373,6.1,1.22,8.01,A1,B2,70
A1-B2-0071,Barriers Burned Away,Edward Payson Roe,1800,Historical Fiction,Fiction,5,4,3/13/2024,4.43,3,0.99,en,450,7,1.54,9.49,A1,B2,71
A1-B2-0072,Heart of Darkness,Joseph Conrad,1899,Drama,Fiction,7,15,7/19/2024,4.36,11,6.49,en,84,5,0.27,8,A1,B2,72
A1-B2-0073,Clotel,William Wells Brown,1853,Historical Fiction,Fiction,5,8,11/21/2024,4.37,6,13.02,en,221,5.08,0.7,7.66,A1,B2,73
A1-B2-0074,The Napoleon of Notting Hill,Gilbert Keith Chesterton,1904,Fantasy,Fiction,6,1,12/5/2024,4.07,1,24.99,en,198,6,0.25,9,A1,B2,74
A1-B2-0075,Where the Crawdads Sing,Delia Owens,2018,Mystery,Fiction,5,2256,6/7/2024,4.78,6330,9.9,en,384,5.46,0.82,8.17,A1,B2,75
A1-B2-0076,A Clockwork Orange,Anthony Burgess,1962,Dystopian,Fiction,5,57,11/1/2024,4.49,37,8.18,en,192,5.5,0.6,8.3,A1,B2,76
A1-B2-0077,The Lovely Bones,Alice Sebold,2002,Drama,Fiction,3,210,8/14/2024,4.31,152,10.21,en,372,5.5,1,8.25,A1,B2,77
A1-B2-0078,Brown alumni monthly,Brown University,1900,History,Non-Fiction,6,2,8/2/2024,,,26.95,en,374,5.81,1.37,8.34,A1,B2,78
A1-B2-0079,Grit: The Power of Passion and Perseverance,Angela Duckworth,2016,Self-Help,Non-Fiction,46,375,10/20/2024,4.61,196,10.99,en,76,5.5,0.92,8.38,A1,B2,79
A1-B3-0001,Failure Is Not an Option, Gene Kranz,2000,Biography & Autobiography,Non-Fiction,3,1,8/11/2024,,,12.49,en,353,6.06,1.1,9.69,A1,B3,1
A1-B3-0002,The deerslayer,James Fenimore Cooper,1841,Historical Fiction,Fiction,7,1,4/20/2024,4.37,1,5.95,en,392,4.14,1.12,6.73,A1,B3,2
A1-B3-0003,Robinson Crusoe,Daniel Defoe,1719,Adventure,Fiction,7,33,8/20/2024,4.33,21,5.36,en,654,5,0.75,8,A1,B3,3
A1-B3-0005,On Liberty,John Stuart Mill,1859,Philosophy,Non-Fiction,7,4,8/24/2024,4.77,4,11.43,en,134,7.6,1.2,5,A1,B3,5
A1-B3-0006,Emily's quest,Lucy Maud Montgomery,1756,Novels,Children,6,14,7/23/2024,4.63,9,0.99,en,287,5.92,1.08,9.01,A1,B3,6
A1-B3-0007,Puck of Pook's Hill,Rudyard Kipling,1906,Fantasy,Children,5,4,4/4/2024,4.33,3,7.98,en,189,6,0.41,9,A1,B3,7
A1-B3-0008,"Laws, etc",Great Britain.,1691,History,Non-Fiction,11,1,6/5/2024,,,33.95,en,1492,6.14,0.94,9.21,A1,B3,8
A1-B3-0009,La tentation de saint Antoine,Gustave Flaubert,1884,Drama,Fiction,4,2,9/3/2024,3.66,1,,fr,214,5.98,0.78,6.36,A1,B3,9
A1-B3-0010,Fairy Tales and Stories,Hans Christian Andersen,1850,Fantasy,Children,6,2,1/29/2025,4.65,1,0.99,en,188,6.34,1.69,9.21,A1,B3,10
A1-B3-0011,"One, Two, Buckle My Shoe",Agatha Christie,1940,Crime/Thriller,Fiction,4,26,2/17/2025,4.44,19,11.29,en,32,5.79,0.44,8.25,A1,B3,11
A1-B3-0012,The last of the barons,Edward Bulwer Lytton,1843,Historical Fiction,Fiction,5,1,10/24/2024,3.97,1,0.99,en,308,6,0.71,9,A1,B3,12
A1-B3-0013,Undine,Friedrich de la Motte Fouqué,1845,Fantasy,Young Adult (YA),5,2,2/19/2025,4.44,2,0.99,de,144,8.5,0.11,11,A1,B3,13
A1-B3-0014,L'affaire Lerouge,Émile Gaboriau,1800,Crime/Thriller,Fiction,6,7,3/20/2024,4.79,6,12.99,fr,208,6,1.14,9,A1,B3,14
